ref	value
C1	100n
C2	100n
C3	CTRIM
C4	C
C5	CTRIM
C6	C
C7	C
C8	C
C9	100n
C10	100n
C11	100n
C12	100n
C13	100n
C14	100n
C15	100n
C16	100n
C17	100n
C18	100n
C19	100n
C20	C
C21	C
C22	C
C23	C
C24	C
D1	Red
D2	Green
D3	3.6V
D4	1N5817
D5	3.6V
D6	1N5817
D7	Red
D8	1N5817
D9	1N5817
J1	+12VDC
J2	USB_2
J3	AVR-ISP-6
J4	Ant
L1	L
L2	10u
L3	L-IRONCORE
L4	L-IRONCORE
Q1	2N4401
Q2	2N4401
Q3	BD139-16
Q4	2N4403
Q5	2N7000
R1	100k
R2	100k
R3	100k
R4	330
R5	10k
R6	10k
R7	47
R8	1k
R9	10k
R10	68
R11	68
R12	10k
R13	47
R14	100
R15	1.5k
R16	1k
R17	2.2k
R18	1k
R19	33
R20	470
R21	10
R22	22k
R23	22k
R24	100k
S1	PUSHBUTTON
T1	FT37-43 BIFILAR
U1	ATTINY85
U2	78L05
X1	CRYSTAL
